timestep,average_reward,episode_return
100,-801.970947265625,-80197.09375
200,-1066.5655517578125,-106656.5546875
300,-1098.224853515625,-109822.484375
400,-1055.2381591796875,-105523.8125
500,-1111.98046875,-111198.046875
600,-1098.3206787109375,-109832.0625
700,-1118.34033203125,-111834.03125
800,-1072.4490966796875,-107244.90625
900,-1024.7332763671875,-102473.328125
1000,-1048.271240234375,-104827.125
1100,-1024.572265625,-102457.2265625
1200,-1089.50439453125,-108950.4453125
1300,-1062.909423828125,-106290.9375
1400,-1119.5350341796875,-111953.5
1500,-1064.6436767578125,-106464.3671875
1600,-1001.3688354492188,-100136.8828125
1700,-1071.239501953125,-107123.9453125
1800,-1044.36865234375,-104436.8671875
1900,-1076.0830078125,-107608.296875
2000,-1049.5631103515625,-104956.3125
2100,-1040.3929443359375,-104039.296875
2200,-1041.116943359375,-104111.6953125
2300,-1031.0023193359375,-103100.234375
2400,-1103.717529296875,-110371.7578125
2500,-1037.7830810546875,-103778.3046875
2600,-1093.68408203125,-109368.4140625
2700,-1072.000732421875,-107200.078125
2800,-1124.3739013671875,-112437.390625
2900,-1017.909912109375,-101790.9921875
3000,-1149.8475341796875,-114984.75
3100,-1085.8826904296875,-108588.265625
3200,-1024.4132080078125,-102441.3203125
3300,-1065.3031005859375,-106530.3046875
3400,-1099.9420166015625,-109994.203125
3500,-1061.5518798828125,-106155.1875
3600,-1026.8052978515625,-102680.53125
3700,-1071.186767578125,-107118.671875
3800,-1076.8603515625,-107686.03125
3900,-1041.39404296875,-104139.40625
4000,-1010.5808715820312,-101058.0859375
4100,-1091.9942626953125,-109199.4296875
4200,-1009.5897827148438,-100958.9765625
4300,-1044.2724609375,-104427.25
4400,-1033.2296142578125,-103322.9609375
4500,-1050.375244140625,-105037.5234375
4600,-1007.5857543945312,-100758.578125
4700,-1046.342041015625,-104634.203125
4800,-1026.988525390625,-102698.8515625
4900,-1045.78271484375,-104578.2734375
5000,-1017.026611328125,-101702.6640625
5100,-1008.983642578125,-100898.3671875
5200,-1076.0745849609375,-107607.4609375
5300,-997.6290893554688,-99762.90625
5400,-1028.22216796875,-102822.21875
5500,-1092.2357177734375,-109223.5703125
5600,-1074.3919677734375,-107439.1953125
5700,-990.4410400390625,-99044.1015625
5800,-1103.3612060546875,-110336.125
5900,-1030.6094970703125,-103060.953125
6000,-1062.252685546875,-106225.2734375
6100,-1486.36474609375,-148636.46875
6200,-29402.830078125,-2940283.0
6300,-29284.7890625,-2928479.0
6400,-29042.91015625,-2904291.0
6500,-28713.4296875,-2871343.0
6600,-29411.4453125,-2941144.5
6700,-29200.54296875,-2920054.25
6800,-29260.033203125,-2926003.25
6900,-29092.349609375,-2909235.0
7000,-29164.0234375,-2916402.25
7100,-29066.45703125,-2906645.75
7200,-29154.5390625,-2915454.0
7300,-29293.783203125,-2929378.25
7400,-28976.302734375,-2897630.25
7500,-28857.509765625,-2885751.0
7600,-29050.626953125,-2905062.75
7700,-29113.6875,-2911368.75
7800,-29323.984375,-2932398.5
7900,-29457.03515625,-2945703.5
8000,-28996.322265625,-2899632.25
8100,-29275.552734375,-2927555.25
8200,-29053.900390625,-2905390.0
8300,-28933.275390625,-2893327.5
8400,-29202.400390625,-2920240.0
8500,-28997.005859375,-2899700.5
8600,-29122.3515625,-2912235.25
8700,-29359.0859375,-2935908.5
8800,-28998.8515625,-2899885.25
8900,-29352.76953125,-2935277.0
9000,-28785.455078125,-2878545.5
9100,-29224.892578125,-2922489.25
9200,-29150.845703125,-2915084.5
9300,-29300.939453125,-2930094.0
9400,-29051.123046875,-2905112.25
9500,-29290.841796875,-2929084.25
9600,-29260.80078125,-2926080.0
9700,-29015.296875,-2901529.75
9800,-28991.01171875,-2899101.25
9900,-29321.72265625,-2932172.25
10000,-29436.935546875,-2943693.5
