timestep,average_reward,episode_return
100,-223.3420867919922,-22334.208984375
200,-783.4049072265625,-78340.4921875
300,-13950.8828125,-1395088.25
400,-29231.125,-2923112.5
500,-29149.447265625,-2914944.75
600,-29061.9765625,-2906197.75
700,-29231.55078125,-2923155.0
800,-29108.9296875,-2910893.0
900,-28829.537109375,-2882953.75
1000,-29017.330078125,-2901733.0
1100,-28835.171875,-2883517.25
1200,-29074.609375,-2907461.0
1300,-29301.267578125,-2930126.75
1400,-29146.556640625,-2914655.75
1500,-29129.509765625,-2912951.0
1600,-29121.880859375,-2912188.0
1700,-28705.123046875,-2870512.25
1800,-29164.724609375,-2916472.5
1900,-28964.9375,-2896493.75
2000,-29066.51953125,-2906652.0
2100,-29225.529296875,-2922553.0
2200,-29455.26171875,-2945526.25
2300,-29166.796875,-2916679.75
2400,-29658.2421875,-2965824.25
2500,-29165.9296875,-2916593.0
2600,-28953.85546875,-2895385.5
2700,-29206.01953125,-2920602.0
2800,-29310.865234375,-2931086.5
2900,-29039.990234375,-2903999.0
3000,-28967.060546875,-2896706.0
3100,-29538.623046875,-2953862.25
3200,-29413.671875,-2941367.25
3300,-29140.783203125,-2914078.25
3400,-29227.685546875,-2922768.5
3500,-29111.162109375,-2911116.25
3600,-29025.359375,-2902536.0
3700,-29207.0234375,-2920702.25
3800,-29234.505859375,-2923450.5
3900,-29463.578125,-2946357.75
4000,-29255.775390625,-2925577.5
4100,-29177.890625,-2917789.0
4200,-28697.935546875,-2869793.5
4300,-29014.4296875,-2901443.0
4400,-29292.0234375,-2929202.25
4500,-28870.9140625,-2887091.5
4600,-29083.21484375,-2908321.5
4700,-29060.740234375,-2906074.0
4800,-29069.330078125,-2906933.0
4900,-29213.689453125,-2921369.0
5000,-29455.904296875,-2945590.5
5100,-29103.33203125,-2910333.25
5200,-29155.86328125,-2915586.25
5300,-29289.16015625,-2928916.0
5400,-29277.443359375,-2927744.25
5500,-29086.8046875,-2908680.5
5600,-29149.615234375,-2914961.5
5700,-29139.3359375,-2913933.5
5800,-29014.5859375,-2901458.5
5900,-28637.03515625,-2863703.5
6000,-29285.0546875,-2928505.5
6100,-29125.009765625,-2912501.0
6200,-29132.4609375,-2913246.0
6300,-29069.77734375,-2906977.75
6400,-29322.36328125,-2932236.25
6500,-28629.6484375,-2862964.75
6600,-29148.892578125,-2914889.25
6700,-29000.130859375,-2900013.0
6800,-29396.6875,-2939668.75
6900,-29219.642578125,-2921964.25
7000,-29266.126953125,-2926612.75
7100,-29268.91015625,-2926891.0
7200,-29176.03515625,-2917603.5
7300,-29172.95703125,-2917295.75
7400,-29127.26953125,-2912727.0
7500,-29248.912109375,-2924891.25
7600,-29565.41796875,-2956541.75
7700,-29273.869140625,-2927387.0
7800,-28908.501953125,-2890850.25
7900,-29376.078125,-2937607.75
8000,-29163.98046875,-2916398.0
8100,-28995.796875,-2899579.75
8200,-29190.919921875,-2919092.0
8300,-29018.75,-2901875.0
8400,-28876.509765625,-2887651.0
8500,-29145.369140625,-2914537.0
8600,-29199.48046875,-2919948.0
8700,-29058.306640625,-2905830.75
8800,-29087.109375,-2908711.0
8900,-29281.865234375,-2928186.5
9000,-28852.810546875,-2885281.0
9100,-29104.822265625,-2910482.25
9200,-29356.19921875,-2935620.0
9300,-29011.310546875,-2901131.0
9400,-29065.564453125,-2906556.5
9500,-29132.41015625,-2913241.0
9600,-28971.822265625,-2897182.25
9700,-28985.052734375,-2898505.25
9800,-29096.9296875,-2909693.0
9900,-29154.125,-2915412.5
10000,-28987.462890625,-2898746.25
10100,-29325.953125,-2932595.25
10200,-29088.140625,-2908814.0
10300,-28576.9453125,-2857694.5
10400,-29341.794921875,-2934179.5
10500,-29163.162109375,-2916316.25
10600,-29250.3359375,-2925033.5
10700,-28778.92578125,-2877892.5
10800,-29027.16796875,-2902716.75
10900,-28850.60546875,-2885060.5
11000,-29193.431640625,-2919343.25
11100,-28804.373046875,-2880437.25
11200,-29354.697265625,-2935469.75
11300,-29476.595703125,-2947659.5
11400,-29383.3359375,-2938333.5
11500,-29142.220703125,-2914222.0
11600,-29233.939453125,-2923394.0
11700,-29276.5625,-2927656.25
11800,-28554.3984375,-2855439.75
11900,-29168.439453125,-2916844.0
12000,-29094.560546875,-2909456.0
12100,-28859.974609375,-2885997.5
12200,-28796.3046875,-2879630.5
12300,-29175.552734375,-2917555.25
12400,-27268.498046875,-2726849.75
12500,-26108.69921875,-2610870.0
12600,-1047.7388916015625,-104773.890625
12700,-1103.06103515625,-110306.1015625
12800,-1142.0606689453125,-114206.0703125
12900,-1067.3311767578125,-106733.1171875
13000,-1042.9605712890625,-104296.0625
13100,-1031.2523193359375,-103125.234375
13200,-1058.063232421875,-105806.3203125
13300,-1040.879150390625,-104087.9140625
13400,-1038.460693359375,-103846.0703125
13500,-1091.8751220703125,-109187.5078125
13600,-1039.4251708984375,-103942.515625
13700,-1064.96826171875,-106496.8203125
13800,-1066.082763671875,-106608.28125
13900,-1084.873046875,-108487.3046875
14000,-1040.422119140625,-104042.2109375
14100,-1020.53564453125,-102053.5625
14200,-1023.6910400390625,-102369.1015625
14300,-1111.75048828125,-111175.0546875
14400,-1070.6883544921875,-107068.8359375
14500,-1033.6124267578125,-103361.2421875
14600,-1002.1729736328125,-100217.296875
14700,-1103.2476806640625,-110324.765625
14800,-1070.6036376953125,-107060.3671875
14900,-1099.818115234375,-109981.8125
15000,-975.64794921875,-97564.796875
15100,-1047.3106689453125,-104731.0703125
15200,-1082.8895263671875,-108288.953125
15300,-1022.15380859375,-102215.3828125
15400,-1122.2374267578125,-112223.7421875
15500,-1031.8309326171875,-103183.09375
15600,-1022.283203125,-102228.3203125
15700,-1071.1142578125,-107111.4296875
15800,-1078.74853515625,-107874.8515625
15900,-1073.0443115234375,-107304.4296875
16000,-1088.302490234375,-108830.25
16100,-1001.2251586914062,-100122.515625
16200,-1048.7518310546875,-104875.1796875
16300,-1017.1121215820312,-101711.2109375
16400,-1082.1195068359375,-108211.9453125
16500,-1088.705078125,-108870.5078125
16600,-1000.2669677734375,-100026.6953125
16700,-1058.0062255859375,-105800.6171875
16800,-1059.9991455078125,-105999.9140625
16900,-1089.935791015625,-108993.578125
17000,-1023.744384765625,-102374.4375
17100,-1027.7716064453125,-102777.15625
17200,-1066.596435546875,-106659.6484375
17300,-960.5763549804688,-96057.6328125
17400,-1028.8668212890625,-102886.6875
17500,-1110.005615234375,-111000.5625
17600,-1044.7740478515625,-104477.40625
17700,-1062.7593994140625,-106275.9375
17800,-1041.8883056640625,-104188.828125
17900,-1066.3011474609375,-106630.109375
18000,-1002.2647705078125,-100226.4765625
18100,-1082.89013671875,-108289.015625
18200,-1037.8482666015625,-103784.828125
18300,-1017.46875,-101746.875
18400,-1063.1131591796875,-106311.3125
18500,-1068.8206787109375,-106882.0703125
18600,-986.640380859375,-98664.0390625
18700,-1054.4619140625,-105446.1953125
18800,-1052.6490478515625,-105264.90625
18900,-1064.58203125,-106458.203125
19000,-1097.2650146484375,-109726.5
19100,-1069.3551025390625,-106935.5078125
19200,-1022.7304077148438,-102273.0390625
19300,-1089.021240234375,-108902.125
