timestep,average_reward,episode_return
50,-153.87680053710938,-7693.83984375
100,-188.23512268066406,-9411.755859375
150,-13.555617332458496,-677.7808837890625
200,-3.08664608001709,-154.33230590820312
250,-1056.3497314453125,-52817.48828125
300,-1415.07666015625,-70753.8359375
350,-1398.18310546875,-69909.15625
400,-1399.310791015625,-69965.5390625
450,-1386.485107421875,-69324.2578125
500,-1395.4073486328125,-69770.3671875
550,-1383.467529296875,-69173.375
600,-1049.18017578125,-52459.0078125
650,-233.3221893310547,-11666.109375
700,-191.7041015625,-9585.205078125
750,-202.9384002685547,-10146.919921875
800,-196.3480682373047,-9817.4033203125
850,-419.686279296875,-20984.314453125
900,-1080.6630859375,-54033.15234375
950,-1227.3944091796875,-61369.72265625
1000,-1280.549072265625,-64027.453125
1050,-1292.9500732421875,-64647.50390625
1100,-1266.286376953125,-63314.3203125
1150,-1332.763916015625,-66638.1953125
1200,-1323.752197265625,-66187.609375
1250,-1350.962158203125,-67548.109375
1300,-1371.80126953125,-68590.0625
1350,-1368.1160888671875,-68405.8046875
1400,-1425.5172119140625,-71275.859375
1450,-1344.9176025390625,-67245.8828125
1500,-1422.19775390625,-71109.890625
1550,-1389.7835693359375,-69489.1796875
1600,-1413.914794921875,-70695.7421875
1650,-1391.7310791015625,-69586.5546875
1700,-1411.61962890625,-70580.984375
1750,-1394.232177734375,-69711.609375
1800,-1390.54931640625,-69527.46875
1850,-1356.0894775390625,-67804.4765625
1900,-1422.05810546875,-71102.90625
1950,-1410.4783935546875,-70523.921875
2000,-1357.938720703125,-67896.9375
2050,-1409.77099609375,-70488.546875
2100,-1413.5540771484375,-70677.703125
2150,-1405.080810546875,-70254.0390625
2200,-1427.50390625,-71375.1953125
2250,-1382.5777587890625,-69128.890625
2300,-1398.7996826171875,-69939.984375
2350,-1379.14453125,-68957.2265625
2400,-1386.4169921875,-69320.8515625
2450,-1348.778076171875,-67438.90625
2500,-1415.770263671875,-70788.515625
2550,-1387.08154296875,-69354.078125
2600,-1410.923095703125,-70546.15625
2650,-1386.681884765625,-69334.09375
2700,-1426.1904296875,-71309.5234375
2750,-1407.596435546875,-70379.8203125
2800,-1380.6768798828125,-69033.84375
2850,-1384.05810546875,-69202.90625
2900,-1394.6072998046875,-69730.3671875
2950,-1424.1212158203125,-71206.0625
3000,-1418.3089599609375,-70915.4453125
3050,-1378.0081787109375,-68900.40625
3100,-1371.6005859375,-68580.03125
3150,-1377.5880126953125,-68879.3984375
3200,-1380.967529296875,-69048.375
3250,-1443.2197265625,-72160.984375
3300,-1386.2677001953125,-69313.3828125
3350,-1344.2366943359375,-67211.8359375
3400,-1398.0528564453125,-69902.640625
3450,-1362.2861328125,-68114.3046875
3500,-1410.200927734375,-70510.046875
3550,-1436.7088623046875,-71835.4453125
3600,-1323.08056640625,-66154.03125
3650,-1381.65478515625,-69082.7421875
3700,-1411.9375,-70596.875
3750,-1381.1343994140625,-69056.71875
3800,-1433.489013671875,-71674.453125
3850,-1374.7049560546875,-68735.25
3900,-1367.7109375,-68385.546875
3950,-1450.555419921875,-72527.7734375
4000,-1402.6014404296875,-70130.0703125
4050,-1412.0018310546875,-70600.09375
4100,-1377.694091796875,-68884.703125
4150,-1383.1038818359375,-69155.1953125
4200,-1411.1881103515625,-70559.40625
4250,-1393.826904296875,-69691.34375
4300,-1414.954833984375,-70747.7421875
4350,-1391.1402587890625,-69557.015625
4400,-1339.5245361328125,-66976.2265625
4450,-1384.6912841796875,-69234.5625
4500,-1397.57861328125,-69878.9296875
4550,-1396.845458984375,-69842.2734375
4600,-1448.380126953125,-72419.0078125
4650,-1364.14501953125,-68207.25
