timestep,average_reward,episode_return
50,-177.79339599609375,-8889.669921875
100,-40.157649993896484,-2007.8824462890625
150,-1227.1002197265625,-61355.01171875
200,-1401.40576171875,-70070.2890625
250,-820.0670166015625,-41003.3515625
300,-0.4664005935192108,-23.320030212402344
350,-4.906912326812744,-245.34561157226562
400,-1386.287841796875,-69314.390625
450,-1402.338623046875,-70116.9296875
500,-1422.235107421875,-71111.7578125
550,-1409.2562255859375,-70462.8125
600,-1410.7618408203125,-70538.09375
650,-1392.454345703125,-69622.71875
700,-1404.4927978515625,-70224.640625
750,-1431.076904296875,-71553.84375
800,-1435.245361328125,-71762.265625
850,-1402.01416015625,-70100.7109375
900,-1407.07470703125,-70353.734375
950,-1378.513916015625,-68925.6953125
1000,-1419.4566650390625,-70972.8359375
1050,-1405.5369873046875,-70276.8515625
1100,-1382.5426025390625,-69127.1328125
1150,-1427.66259765625,-71383.1328125
1200,-1364.564208984375,-68228.2109375
1250,-1379.8809814453125,-68994.046875
1300,-1352.3299560546875,-67616.5
1350,-1406.630615234375,-70331.53125
1400,-1425.38671875,-71269.3359375
1450,-1409.248291015625,-70462.4140625
1500,-1398.719970703125,-69936.0
1550,-1388.5693359375,-69428.46875
1600,-1422.890625,-71144.53125
1650,-1400.7012939453125,-70035.0625
1700,-1353.28857421875,-67664.4296875
1750,-1409.0618896484375,-70453.09375
1800,-1455.6751708984375,-72783.7578125
1850,-1330.2889404296875,-66514.4453125
1900,-1404.9420166015625,-70247.1015625
1950,-1476.3843994140625,-73819.21875
2000,-1391.7147216796875,-69585.734375
2050,-1431.7518310546875,-71587.59375
2100,-1390.40283203125,-69520.140625
2150,-1417.3912353515625,-70869.5625
2200,-1368.02685546875,-68401.34375
2250,-1389.556884765625,-69477.84375
2300,-1404.1322021484375,-70206.609375
2350,-1378.193115234375,-68909.65625
2400,-1408.5390625,-70426.953125
2450,-1445.8336181640625,-72291.6796875
2500,-1423.969482421875,-71198.4765625
2550,-1432.036376953125,-71601.8203125
2600,-1393.746826171875,-69687.34375
2650,-1418.4837646484375,-70924.1875
2700,-1417.0927734375,-70854.640625
2750,-1400.4471435546875,-70022.359375
2800,-1398.856689453125,-69942.8359375
2850,-1376.5361328125,-68826.8046875
2900,-1387.98046875,-69399.0234375
2950,-1454.69091796875,-72734.546875
3000,-1425.1678466796875,-71258.390625
3050,-1382.142333984375,-69107.1171875
3100,-1419.8394775390625,-70991.9765625
3150,-1404.1937255859375,-70209.6875
3200,-1398.877685546875,-69943.8828125
3250,-1384.3182373046875,-69215.9140625
3300,-1469.1795654296875,-73458.9765625
3350,-1444.630615234375,-72231.53125
3400,-1408.09912109375,-70404.953125
3450,-1381.2769775390625,-69063.8515625
3500,-1429.474365234375,-71473.71875
3550,-1385.4571533203125,-69272.859375
3600,-1370.9693603515625,-68548.46875
3650,-1388.29833984375,-69414.9140625
3700,-1405.5213623046875,-70276.0703125
3750,-1397.2734375,-69863.671875
3800,-1370.4603271484375,-68523.015625
3850,-1339.2889404296875,-66964.4453125
3900,-1361.963623046875,-68098.1796875
3950,-1424.23291015625,-71211.6484375
4000,-1392.9219970703125,-69646.1015625
4050,-1437.0269775390625,-71851.3515625
4100,-1431.608154296875,-71580.40625
4150,-1436.8121337890625,-71840.609375
4200,-1372.43603515625,-68621.8046875
4250,-1453.15234375,-72657.6171875
4300,-1362.790283203125,-68139.515625
4350,-1405.8487548828125,-70292.4375
4400,-1407.1031494140625,-70355.15625
4450,-1396.406982421875,-69820.3515625
4500,-1409.473388671875,-70473.671875
4550,-1401.91943359375,-70095.96875
4600,-1383.8206787109375,-69191.03125
4650,-1382.5802001953125,-69129.0078125
4700,-1423.8240966796875,-71191.203125
4750,-1361.29150390625,-68064.578125
4800,-1384.2113037109375,-69210.5625
4850,-1390.563232421875,-69528.1640625
4900,-1357.403076171875,-67870.15625
4950,-1359.281982421875,-67964.1015625
5000,-1385.181884765625,-69259.09375
