timestep,average_reward,episode_return
200,-1421.612548828125,-284322.5
400,-4415.0576171875,-883011.5
600,-4423.38134765625,-884676.3125
800,-4367.8544921875,-873570.9375
1000,-4573.9833984375,-914796.6875
1200,-4172.48095703125,-834496.1875
1400,-4271.38330078125,-854276.6875
1600,-4348.80419921875,-869760.8125
1800,-4353.73681640625,-870747.375
2000,-4346.72119140625,-869344.25
2200,-4512.13818359375,-902427.625
2400,-4430.787109375,-886157.4375
2600,-4235.666015625,-847133.1875
2800,-4409.548828125,-881909.75
3000,-4300.4921875,-860098.4375
3200,-4467.27783203125,-893455.5625
3400,-4342.32763671875,-868465.5625
3600,-4523.53173828125,-904706.375
3800,-4508.45166015625,-901690.3125
4000,-4280.169921875,-856033.9375
4200,-4321.10205078125,-864220.375
4400,-4380.57568359375,-876115.125
4600,-4429.97607421875,-885995.1875
4800,-4225.71875,-845143.75
5000,-4218.55078125,-843710.125
5200,-4377.32275390625,-875464.5625
5400,-4352.583984375,-870516.75
5600,-4452.9375,-890587.5
5800,-4345.39208984375,-869078.4375
6000,-4339.154296875,-867830.875
6200,-4370.13427734375,-874026.875
6400,-4420.20458984375,-884040.875
6600,-4263.71923828125,-852743.875
6800,-4507.28173828125,-901456.375
7000,-4348.56884765625,-869713.8125
7200,-4478.43798828125,-895687.625
7400,-4403.0107421875,-880602.1875
7600,-4225.72705078125,-845145.375
7800,-4335.70947265625,-867141.9375
8000,-4357.466796875,-871493.3125
8200,-4337.61083984375,-867522.1875
8400,-4481.57861328125,-896315.75
8600,-4322.96044921875,-864592.125
8800,-4434.34326171875,-886868.6875
9000,-4424.9990234375,-884999.8125
9200,-4249.68115234375,-849936.25
9400,-550245.9375,-110049184.0
9600,-548484.625,-109696928.0
9800,-549846.25,-109969248.0
10000,-548675.875,-109735176.0
