timestep,average_reward,episode_return
100,-639.5673217773438,-63956.73046875
200,-24.005321502685547,-2400.5322265625
300,-1090.918701171875,-109091.875
400,-1051.01318359375,-105101.3125
500,-1135.9996337890625,-113599.9609375
600,-1050.5491943359375,-105054.9140625
700,-1043.5958251953125,-104359.5859375
800,-1097.678466796875,-109767.8515625
900,-1081.3101806640625,-108131.0234375
1000,-1065.3067626953125,-106530.6796875
1100,-1041.7305908203125,-104173.0546875
1200,-1097.7281494140625,-109772.8125
1300,-1067.7657470703125,-106776.5703125
1400,-1068.5274658203125,-106852.7421875
1500,-1006.2659301757812,-100626.59375
1600,-1010.02880859375,-101002.8828125
1700,-1097.26513671875,-109726.515625
1800,-1079.051513671875,-107905.1484375
1900,-1070.4456787109375,-107044.5703125
2000,-1061.6500244140625,-106165.0078125
2100,-1112.3017578125,-111230.171875
2200,-1012.4905395507812,-101249.0546875
2300,-1057.2418212890625,-105724.1796875
2400,-995.3861694335938,-99538.6171875
2500,-1020.09228515625,-102009.2265625
2600,-29326.244140625,-2932624.5
2700,-29152.70703125,-2915270.75
2800,-29060.6875,-2906068.75
2900,-29148.373046875,-2914837.25
3000,-28884.744140625,-2888474.5
3100,-28887.087890625,-2888708.75
3200,-29342.837890625,-2934283.75
3300,-28977.2578125,-2897725.75
3400,-29003.087890625,-2900308.75
3500,-29185.591796875,-2918559.25
3600,-29314.814453125,-2931481.5
3700,-28992.365234375,-2899236.5
3800,-29223.259765625,-2922326.0
3900,-28695.654296875,-2869565.5
4000,-29432.408203125,-2943240.75
4100,-29278.689453125,-2927869.0
4200,-28976.10546875,-2897610.5
4300,-29050.515625,-2905051.5
4400,-28852.57421875,-2885257.5
4500,-29239.845703125,-2923984.5
4600,-28976.203125,-2897620.25
4700,-29102.783203125,-2910278.25
4800,-29079.484375,-2907948.5
4900,-29278.61328125,-2927861.25
5000,-29207.419921875,-2920742.0
5100,-29061.408203125,-2906140.75
5200,-29150.48046875,-2915048.0
5300,-29345.025390625,-2934502.5
5400,-29054.830078125,-2905483.0
5500,-29176.7421875,-2917674.25
5600,-29024.734375,-2902473.5
5700,-29067.314453125,-2906731.5
5800,-29490.662109375,-2949066.25
5900,-29161.86328125,-2916186.25
6000,-28906.59765625,-2890659.75
6100,-29042.03515625,-2904203.5
6200,-29654.375,-2965437.5
6300,-29308.5390625,-2930854.0
6400,-29265.2578125,-2926525.75
6500,-29144.919921875,-2914492.0
6600,-29176.107421875,-2917610.75
6700,-29135.068359375,-2913506.75
6800,-29353.734375,-2935373.5
6900,-29266.251953125,-2926625.25
7000,-29021.419921875,-2902142.0
7100,-29133.8515625,-2913385.25
7200,-29015.994140625,-2901599.5
7300,-28933.783203125,-2893378.25
7400,-29290.177734375,-2929017.75
7500,-29015.609375,-2901561.0
7600,-29173.435546875,-2917343.5
7700,-29311.126953125,-2931112.75
7800,-29212.259765625,-2921226.0
7900,-29105.5859375,-2910558.5
8000,-29077.982421875,-2907798.25
8100,-28969.91015625,-2896991.0
8200,-29131.818359375,-2913181.75
8300,-29088.591796875,-2908859.25
8400,-29061.26953125,-2906127.0
8500,-29087.744140625,-2908774.5
8600,-28990.349609375,-2899035.0
8700,-29062.2734375,-2906227.25
8800,-28975.921875,-2897592.25
8900,-29523.505859375,-2952350.5
9000,-29094.7109375,-2909471.0
9100,-29119.1171875,-2911911.75
9200,-28841.283203125,-2884128.25
9300,-29140.4765625,-2914047.75
9400,-29229.9609375,-2922996.0
9500,-28864.099609375,-2886410.0
9600,-29307.693359375,-2930769.25
9700,-28785.07421875,-2878507.5
9800,-28976.697265625,-2897669.75
9900,-29055.47265625,-2905547.25
10000,-29291.625,-2929162.5
