timestep,average_reward,episode_return
50,-4.384192943572998,-219.20965576171875
100,-4.1192851066589355,-205.96426391601562
150,-2.276622772216797,-113.83113861083984
200,-4.070278167724609,-203.513916015625
250,-4.373135566711426,-218.6567840576172
300,-3.5888867378234863,-179.4443359375
350,-4.378547191619873,-218.9273681640625
400,-3.7891173362731934,-189.45587158203125
450,-3.716773748397827,-185.83868408203125
500,-4.046029090881348,-202.30145263671875
550,-4.3408708572387695,-217.04354858398438
600,-3.9874582290649414,-199.37290954589844
650,-4.337285041809082,-216.8642578125
700,-4.266311168670654,-213.31556701660156
750,-3.297358751296997,-164.86793518066406
800,-4.153564929962158,-207.67825317382812
850,-4.3517327308654785,-217.58663940429688
900,-3.1552202701568604,-157.76101684570312
950,-4.248814582824707,-212.44073486328125
1000,-4.157444953918457,-207.87225341796875
1050,-4.353455066680908,-217.67274475097656
1100,-2.996981143951416,-149.84906005859375
1150,-3.9925615787506104,-199.62808227539062
1200,-4.25244140625,-212.6220703125
1250,-2.4510304927825928,-122.55152893066406
1300,-4.31606912612915,-215.80345153808594
1350,-4.261443614959717,-213.0721893310547
1400,-2.4532341957092285,-122.66171264648438
1450,-4.341481685638428,-217.07408142089844
1500,-2.429086208343506,-121.45430755615234
1550,-4.303187847137451,-215.15939331054688
1600,-4.2737507820129395,-213.68753051757812
1650,-4.248823642730713,-212.44119262695312
1700,-0.9164175391197205,-45.82087707519531
1750,-4.35713529586792,-217.8567657470703
1800,-2.7507033348083496,-137.53517150878906
1850,-4.2287116050720215,-211.43557739257812
1900,-4.126160144805908,-206.30801391601562
1950,0.5717089772224426,28.58544921875
2000,0.41693663597106934,20.846832275390625
2050,0.7833352088928223,39.1667594909668
2100,-4.183542251586914,-209.1771240234375
2150,-4.1247358322143555,-206.23678588867188
2200,0.898563027381897,44.92815017700195
2250,0.7588691711425781,37.943458557128906
2300,0.8252825140953064,41.26412582397461
2350,0.919111967086792,45.955596923828125
2400,0.800271213054657,40.0135612487793
2450,0.7649080157279968,38.245399475097656
2500,0.8902127146720886,44.51063537597656
2550,0.8489521741867065,42.447608947753906
2600,-4.127767562866211,-206.38836669921875
2650,0.8260306715965271,41.30153274536133
2700,0.8484811186790466,42.42405700683594
2750,0.9043397307395935,45.21698760986328
2800,0.8777885437011719,43.889427185058594
2850,0.8765615224838257,43.82807540893555
2900,0.8426491618156433,42.1324577331543
2950,0.8000533580780029,40.00266647338867
3000,0.74847012758255,37.42350769042969
3050,0.8912448883056641,44.5622444152832
3100,0.8734954595565796,43.674774169921875
3150,0.8984363079071045,44.92181396484375
3200,0.8404085636138916,42.02042770385742
3250,0.8813067078590393,44.06533432006836
3300,0.9134740233421326,45.673702239990234
3350,0.9015833139419556,45.079166412353516
3400,0.8672521710395813,43.36260986328125
3450,0.8004880547523499,40.0244026184082
3500,0.8640210032463074,43.2010498046875
3550,0.8474730849266052,42.373653411865234
3600,0.8554589748382568,42.77294921875
3650,0.9021308422088623,45.10654067993164
3700,0.8035224080085754,40.17612075805664
3750,0.8338772058486938,41.6938591003418
3800,0.8487402200698853,42.43701171875
3850,0.7808625102043152,39.04312515258789
3900,0.683895468711853,34.19477462768555
3950,0.8379886746406555,41.89943313598633
4000,0.8196321725845337,40.98160934448242
4050,0.796745240688324,39.83726119995117
4100,0.7510534524917603,37.55267333984375
4150,0.796674370765686,39.833717346191406
4200,0.9467452168464661,47.33726119995117
4250,0.8615190386772156,43.075950622558594
4300,0.8273847103118896,41.36923599243164
4350,0.7813192009925842,39.06595993041992
4400,0.8495674133300781,42.478370666503906
4450,0.8692494034767151,43.46247100830078
4500,0.7335728406906128,36.67864227294922
4550,0.3734242618083954,18.671213150024414
4600,0.7608416080474854,38.04207992553711
4650,0.8290640115737915,41.45320129394531
4700,0.7070609331130981,35.35304641723633
4750,0.64588463306427,32.29423141479492
4800,0.713527500629425,35.67637634277344
4850,0.6265563368797302,31.327816009521484
4900,0.7641072869300842,38.20536422729492
4950,0.845876157283783,42.29380798339844
5000,0.6538276672363281,32.691383361816406
5050,0.5675511360168457,28.37755584716797
5100,0.5901766419410706,29.508831024169922
5150,0.8987693786621094,44.93846893310547
5200,0.8379995822906494,41.89997863769531
5250,0.6401801109313965,32.00900650024414
5300,0.9114346504211426,45.57173156738281
5350,0.8823468685150146,44.11734390258789
5400,0.7710739374160767,38.55369567871094
5450,0.8305075764656067,41.5253791809082
5500,0.8043633103370667,40.21816635131836
5550,0.8973183631896973,44.86591720581055
5600,0.8186887502670288,40.9344367980957
5650,0.7326134443283081,36.630672454833984
5700,0.9679344296455383,48.39672088623047
5750,0.760098397731781,38.004920959472656
5800,0.8487040996551514,42.435203552246094
5850,0.883710503578186,44.185523986816406
5900,0.6967931985855103,34.83966064453125
5950,0.8275977969169617,41.37989044189453
6000,0.8921001553535461,44.60500717163086
6050,0.7580910325050354,37.9045524597168
6100,0.8644535541534424,43.222679138183594
6150,0.8346032500267029,41.73016357421875
6200,0.9028063416481018,45.140316009521484
6250,0.9814369678497314,49.07184982299805
6300,0.8431012630462646,42.15506362915039
6350,0.9006884098052979,45.034420013427734
6400,0.9595551490783691,47.97775650024414
6450,0.9506672024726868,47.53335952758789
6500,0.8435664176940918,42.178321838378906
6550,0.9026115536689758,45.130577087402344
6600,0.9147939085960388,45.73969650268555
6650,0.9480238556861877,47.40119171142578
6700,0.8713996410369873,43.56998062133789
6750,0.7562547922134399,37.812740325927734
6800,0.8624867796897888,43.12434005737305
6850,0.9217677116394043,46.08838653564453
6900,0.9538375735282898,47.69187927246094
6950,0.9186785221099854,45.93392562866211
7000,0.9642096161842346,48.210479736328125
7050,0.9096795916557312,45.483978271484375
7100,0.8354465365409851,41.7723274230957
7150,0.9636900424957275,48.18450164794922
7200,0.9468797445297241,47.34398651123047
7250,0.9414451718330383,47.07225799560547
7300,0.9256700277328491,46.28350067138672
7350,0.9738578200340271,48.69289016723633
7400,0.9923350811004639,49.61675262451172
7450,0.9236859679222107,46.18429946899414
7500,0.9552979469299316,47.764896392822266
7550,0.9477406144142151,47.38703155517578
7600,0.9818875789642334,49.09437942504883
7650,0.9689014554023743,48.445072174072266
7700,0.8493759632110596,42.46879959106445
7750,0.9671826362609863,48.359130859375
7800,0.9683589935302734,48.41794967651367
7850,0.9737789034843445,48.68894577026367
7900,0.9382989406585693,46.914947509765625
7950,0.9401041269302368,47.00520706176758
8000,0.9842259287834167,49.21129608154297
8050,0.9693340063095093,48.46670150756836
8100,0.9051325917243958,45.256629943847656
8150,0.9232412576675415,46.16206359863281
8200,0.9553191661834717,47.76595687866211
8250,0.9674837589263916,48.37418746948242
8300,0.8420886993408203,42.104434967041016
8350,0.9500414133071899,47.502071380615234
8400,0.9603732824325562,48.0186653137207
8450,0.9357869029045105,46.789344787597656
8500,0.8327421545982361,41.637107849121094
8550,0.9385216236114502,46.926082611083984
8600,0.9783704876899719,48.91852569580078
8650,1.000819444656372,50.04096984863281
8700,0.9946945905685425,49.7347297668457
8750,0.9802051782608032,49.010257720947266
8800,0.969106137752533,48.45530700683594
8850,0.9534398913383484,47.671993255615234
8900,0.7897699475288391,39.48849868774414
8950,0.9686835408210754,48.43417739868164
9000,0.8723390698432922,43.6169548034668
9050,0.9402419328689575,47.0120964050293
9100,0.9714343547821045,48.57171630859375
9150,0.932148814201355,46.60744094848633
9200,0.951832115650177,47.59160614013672
9250,0.9074664115905762,45.373321533203125
9300,0.9281226992607117,46.40613555908203
9350,0.9645105004310608,48.22552490234375
9400,0.996592104434967,49.82960510253906
9450,0.9850625395774841,49.25312805175781
9500,0.93988436460495,46.99421691894531
9550,0.9322093725204468,46.610469818115234
9600,0.9464555382728577,47.322776794433594
9650,0.9389489889144897,46.94744873046875
9700,0.9631233215332031,48.156166076660156
9750,0.9310678243637085,46.55339050292969
9800,0.9436091780662537,47.180458068847656
9850,0.9523078203201294,47.61539077758789
9900,0.9139665365219116,45.698326110839844
9950,0.8765019178390503,43.825096130371094
10000,0.9479762315750122,47.39881134033203
