timestep,average_reward,episode_return
100,-273.598388671875,-27359.837890625
200,-28909.501953125,-2890950.25
300,-28219.92578125,-2821992.5
400,-1059.2916259765625,-105929.1640625
500,-1048.5252685546875,-104852.53125
600,-29206.1796875,-2920618.0
700,-28938.544921875,-2893854.5
800,-29282.140625,-2928214.0
900,-29344.90234375,-2934490.25
1000,-28966.9296875,-2896693.0
1100,-29351.693359375,-2935169.25
1200,-29327.072265625,-2932707.25
1300,-29020.3203125,-2902032.0
1400,-29158.71484375,-2915871.5
1500,-28954.287109375,-2895428.75
1600,-29041.375,-2904137.5
1700,-29180.9296875,-2918093.0
1800,-29392.39453125,-2939239.5
1900,-28853.537109375,-2885353.75
2000,-29091.15234375,-2909115.25
2100,-28891.8359375,-2889183.5
2200,-29053.83203125,-2905383.25
2300,-29306.4375,-2930643.75
2400,-29165.609375,-2916561.0
2500,-29543.001953125,-2954300.25
2600,-29715.251953125,-2971525.25
2700,-29025.431640625,-2902543.25
2800,-28915.0703125,-2891507.0
2900,-29140.931640625,-2914093.25
3000,-28718.001953125,-2871800.25
3100,-29485.58203125,-2948558.25
3200,-29031.875,-2903187.5
3300,-29246.560546875,-2924656.0
3400,-29190.04296875,-2919004.25
3500,-29170.310546875,-2917031.0
3600,-29114.431640625,-2911443.25
3700,-29082.1875,-2908218.75
3800,-29019.453125,-2901945.25
3900,-29196.373046875,-2919637.25
4000,-29076.9296875,-2907693.0
4100,-28769.990234375,-2876999.0
4200,-29106.802734375,-2910680.25
4300,-29005.1953125,-2900519.5
4400,-29128.6796875,-2912868.0
4500,-29448.205078125,-2944820.5
4600,-28947.859375,-2894786.0
4700,-29182.0546875,-2918205.5
4800,-28961.533203125,-2896153.25
4900,-28956.11328125,-2895611.25
5000,-29013.869140625,-2901387.0
5100,-28921.21484375,-2892121.5
5200,-29011.16015625,-2901116.0
5300,-29336.630859375,-2933663.0
5400,-28978.8515625,-2897885.25
5500,-29352.193359375,-2935219.25
5600,-29174.279296875,-2917428.0
5700,-29463.814453125,-2946381.5
5800,-29061.0546875,-2906105.5
5900,-29059.556640625,-2905955.75
6000,-28892.3515625,-2889235.25
6100,-29233.380859375,-2923338.0
6200,-29392.375,-2939237.5
6300,-28927.732421875,-2892773.25
6400,-29104.880859375,-2910488.0
6500,-29174.240234375,-2917424.0
6600,-29136.724609375,-2913672.5
6700,-29119.189453125,-2911919.0
6800,-29586.345703125,-2958634.5
6900,-29202.8671875,-2920286.75
7000,-28976.5859375,-2897658.5
7100,-29097.931640625,-2909793.25
7200,-29190.1484375,-2919014.75
7300,-29089.560546875,-2908956.0
7400,-29146.533203125,-2914653.25
7500,-29077.712890625,-2907771.25
7600,-29054.005859375,-2905400.5
7700,-28879.6875,-2887968.75
7800,-29293.302734375,-2929330.25
7900,-29122.994140625,-2912299.5
8000,-29119.2890625,-2911929.0
8100,-28922.6953125,-2892269.5
8200,-29154.79296875,-2915479.25
8300,-29142.23828125,-2914223.75
8400,-28931.6484375,-2893164.75
8500,-29121.794921875,-2912179.5
8600,-29161.3984375,-2916139.75
8700,-29030.95703125,-2903095.75
8800,-29266.283203125,-2926628.25
8900,-29109.501953125,-2910950.25
9000,-29370.623046875,-2937062.25
9100,-29342.482421875,-2934248.25
9200,-28946.412109375,-2894641.25
9300,-28763.908203125,-2876390.75
9400,-29033.162109375,-2903316.25
9500,-29229.76953125,-2922977.0
9600,-29200.3671875,-2920036.75
9700,-29571.8671875,-2957186.75
9800,-29381.4609375,-2938146.0
9900,-28880.7109375,-2888071.0
10000,-29332.810546875,-2933281.0
10100,-28859.984375,-2885998.5
10200,-29214.58203125,-2921458.25
10300,-29250.265625,-2925026.5
10400,-29052.171875,-2905217.25
10500,-29286.4453125,-2928644.5
10600,-29013.525390625,-2901352.5
10700,-28755.509765625,-2875551.0
10800,-29020.8359375,-2902083.5
10900,-28988.734375,-2898873.5
11000,-29277.08984375,-2927709.0
11100,-29081.72265625,-2908172.25
11200,-28853.3125,-2885331.25
11300,-28976.392578125,-2897639.25
11400,-29367.142578125,-2936714.25
11500,-29252.904296875,-2925290.5
11600,-29007.107421875,-2900710.75
11700,-29107.939453125,-2910794.0
11800,-29013.068359375,-2901306.75
11900,-29162.0703125,-2916207.0
12000,-29018.4140625,-2901841.5
12100,-29332.90234375,-2933290.25
12200,-29181.51171875,-2918151.25
12300,-29265.033203125,-2926503.25
12400,-29237.5546875,-2923755.5
12500,-29395.0078125,-2939500.75
12600,-29370.705078125,-2937070.5
12700,-29291.181640625,-2929118.25
12800,-29282.984375,-2928298.5
12900,-29467.830078125,-2946783.0
13000,-29007.880859375,-2900788.0
13100,-29139.97265625,-2913997.25
13200,-29134.087890625,-2913408.75
13300,-29253.69921875,-2925370.0
13400,-29004.6171875,-2900461.75
13500,-28887.1484375,-2888714.75
13600,-28906.693359375,-2890669.25
13700,-29003.341796875,-2900334.25
13800,-28821.77734375,-2882177.75
13900,-28926.482421875,-2892648.25
14000,-28933.8515625,-2893385.25
14100,-29035.0546875,-2903505.5
