timestep,average_reward,episode_return
50,-4.282983779907227,-214.14920043945312
100,-4.126307964324951,-206.31539916992188
150,-4.29841947555542,-214.9209747314453
200,-4.2896013259887695,-214.4800567626953
250,-4.339321136474609,-216.96604919433594
300,-4.281038761138916,-214.05194091796875
350,-4.308095455169678,-215.40476989746094
400,-4.325118064880371,-216.2559051513672
450,-4.313206672668457,-215.66033935546875
500,-3.981950044631958,-199.09750366210938
550,-3.5644583702087402,-178.22291564941406
600,-3.7355659008026123,-186.77828979492188
650,-3.7339792251586914,-186.69895935058594
700,-3.7512595653533936,-187.56297302246094
750,-3.6889700889587402,-184.44850158691406
800,-3.817946672439575,-190.8973388671875
850,-3.7856621742248535,-189.28311157226562
900,-3.6372649669647217,-181.86325073242188
950,-3.85612416267395,-192.80621337890625
1000,-3.7294135093688965,-186.47067260742188
1050,-3.7984583377838135,-189.92291259765625
1100,-3.728835344314575,-186.4417724609375
1150,-3.69979190826416,-184.98959350585938
1200,-3.6953516006469727,-184.767578125
1250,-3.8038547039031982,-190.19273376464844
1300,-3.702125310897827,-185.10626220703125
1350,-3.68255615234375,-184.1278076171875
1400,-3.7828803062438965,-189.14401245117188
1450,-3.618994951248169,-180.9497528076172
1500,-3.6973931789398193,-184.86965942382812
1550,-3.6073691844940186,-180.3684539794922
1600,-3.730649948120117,-186.53250122070312
1650,-3.867882013320923,-193.39410400390625
1700,-3.8249857425689697,-191.24928283691406
1750,-3.842787981033325,-192.139404296875
1800,-3.717172861099243,-185.858642578125
1850,-3.667682409286499,-183.38412475585938
1900,-3.7729458808898926,-188.6472930908203
1950,-3.760611057281494,-188.03054809570312
2000,-3.617072820663452,-180.8536376953125
2050,-3.649334669113159,-182.46673583984375
2100,-3.6708431243896484,-183.5421600341797
2150,-3.8303661346435547,-191.518310546875
2200,-3.6704344749450684,-183.521728515625
2250,-3.756910800933838,-187.8455352783203
2300,-3.7111949920654297,-185.55975341796875
2350,-3.6428418159484863,-182.14208984375
2400,-3.7248635292053223,-186.24317932128906
2450,-3.710446834564209,-185.5223388671875
2500,-3.68263578414917,-184.1317901611328
2550,-3.7942264080047607,-189.71131896972656
2600,-3.79229736328125,-189.6148681640625
2650,-3.6859140396118164,-184.2957000732422
2700,-3.811042070388794,-190.55210876464844
2750,-3.7295234203338623,-186.47616577148438
2800,-3.752169132232666,-187.60845947265625
2850,-3.7909679412841797,-189.54840087890625
2900,-3.8284788131713867,-191.42393493652344
2950,-3.7186474800109863,-185.932373046875
3000,-3.7976465225219727,-189.88232421875
3050,-3.6335511207580566,-181.67755126953125
3100,-3.704235315322876,-185.21176147460938
3150,-3.69132924079895,-184.56646728515625
3200,-3.871159076690674,-193.55795288085938
