timestep,average_reward,episode_return
100,-446.7507019042969,-44675.0703125
200,-1089.7457275390625,-108974.578125
300,-1076.5626220703125,-107656.265625
400,-1100.2947998046875,-110029.4765625
500,-1120.1544189453125,-112015.4453125
600,-1070.5439453125,-107054.390625
700,-1025.063720703125,-102506.3671875
800,-1052.0687255859375,-105206.875
900,-1120.247314453125,-112024.7265625
1000,-1073.6910400390625,-107369.109375
1100,-1037.220947265625,-103722.09375
1200,-1008.09375,-100809.375
1300,-1051.677734375,-105167.7734375
1400,-1045.204345703125,-104520.4375
1500,-4576.115234375,-457611.53125
1600,-28999.8046875,-2899980.5
1700,-28915.572265625,-2891557.25
1800,-29342.439453125,-2934244.0
1900,-29028.76953125,-2902877.0
2000,-29181.375,-2918137.5
2100,-29229.482421875,-2922948.25
2200,-28858.724609375,-2885872.5
2300,-29236.365234375,-2923636.5
2400,-29142.197265625,-2914219.75
2500,-29101.48046875,-2910148.0
2600,-29266.2578125,-2926625.75
2700,-29166.80078125,-2916680.0
2800,-29280.39453125,-2928039.5
2900,-29359.625,-2935962.5
3000,-29043.322265625,-2904332.25
3100,-29102.998046875,-2910299.75
3200,-29297.8046875,-2929780.5
3300,-29670.55078125,-2967055.0
3400,-29193.029296875,-2919303.0
3500,-29572.1875,-2957218.75
3600,-28977.2265625,-2897722.75
3700,-28964.787109375,-2896478.75
3800,-28972.4609375,-2897246.0
3900,-29121.34765625,-2912134.75
4000,-29131.365234375,-2913136.5
4100,-29263.828125,-2926382.75
4200,-29273.744140625,-2927374.5
4300,-29354.955078125,-2935495.5
4400,-29484.1640625,-2948416.5
4500,-29151.078125,-2915107.75
4600,-29210.3125,-2921031.25
4700,-29345.357421875,-2934535.75
4800,-29049.619140625,-2904962.0
4900,-29149.4375,-2914943.75
5000,-29260.939453125,-2926094.0
5100,-29513.380859375,-2951338.0
5200,-29451.810546875,-2945181.0
5300,-28962.009765625,-2896201.0
5400,-29273.529296875,-2927353.0
5500,-28933.3984375,-2893339.75
5600,-29329.962890625,-2932996.25
5700,-29276.3671875,-2927636.75
5800,-29058.6484375,-2905864.75
5900,-29145.998046875,-2914599.75
6000,-29070.154296875,-2907015.5
6100,-29064.27734375,-2906427.75
6200,-29147.462890625,-2914746.25
6300,-29295.919921875,-2929592.0
6400,-29036.580078125,-2903658.0
6500,-28945.310546875,-2894531.0
6600,-29003.80078125,-2900380.0
6700,-29226.3828125,-2922638.25
6800,-29246.017578125,-2924601.75
6900,-29503.998046875,-2950399.75
7000,-29108.787109375,-2910878.75
7100,-29192.650390625,-2919265.0
7200,-29162.3046875,-2916230.5
7300,-28955.025390625,-2895502.5
7400,-29163.310546875,-2916331.0
7500,-29251.0390625,-2925104.0
7600,-28639.689453125,-2863969.0
7700,-28854.884765625,-2885488.5
7800,-29127.51953125,-2912752.0
7900,-29102.57421875,-2910257.5
8000,-29283.693359375,-2928369.25
8100,-29243.267578125,-2924326.75
8200,-29361.744140625,-2936174.5
8300,-29585.71484375,-2958571.5
8400,-29036.83984375,-2903684.0
8500,-28885.060546875,-2888506.0
8600,-29093.470703125,-2909347.0
8700,-28922.732421875,-2892273.25
8800,-29325.880859375,-2932588.0
8900,-29618.82421875,-2961882.5
9000,-29179.44921875,-2917945.0
9100,-29082.7109375,-2908271.0
9200,-29009.265625,-2900926.5
9300,-29035.537109375,-2903553.75
9400,-29304.7890625,-2930479.0
9500,-29207.04296875,-2920704.25
9600,-28908.537109375,-2890853.75
9700,-29143.908203125,-2914390.75
9800,-29339.787109375,-2933978.75
9900,-29482.80078125,-2948280.0
10000,-29103.1015625,-2910310.25
