timestep,average_reward,episode_return
100,-896.3106079101562,-89631.0625
200,-875.662353515625,-87566.234375
300,-204.34130859375,-20434.130859375
400,-164.63955688476562,-16463.955078125
500,-367.91864013671875,-36791.86328125
600,-885.7581787109375,-88575.8203125
700,-736.824462890625,-73682.4453125
800,-700.7478637695312,-70074.7890625
900,-965.986572265625,-96598.65625
1000,-702.6429443359375,-70264.296875
1100,-392.3990173339844,-39239.90234375
1200,-928.0897827148438,-92808.9765625
1300,-736.6743774414062,-73667.4375
1400,-749.0530395507812,-74905.3046875
1500,-833.4666137695312,-83346.6640625
1600,-916.4550170898438,-91645.5
1700,-723.0582885742188,-72305.828125
1800,-946.4100952148438,-94641.0078125
1900,-589.417724609375,-58941.7734375
2000,-725.66259765625,-72566.2578125
2100,-833.8054809570312,-83380.546875
2200,-911.3489990234375,-91134.8984375
2300,-953.2040405273438,-95320.40625
2400,-992.518310546875,-99251.828125
2500,-1027.8192138671875,-102781.921875
2600,-1023.9063110351562,-102390.6328125
2700,-825.6857299804688,-82568.5703125
2800,-1003.4360961914062,-100343.609375
2900,-1002.9213256835938,-100292.1328125
3000,-923.3041381835938,-92330.4140625
3100,-939.675048828125,-93967.5078125
3200,-982.9462280273438,-98294.625
3300,-973.4629516601562,-97346.296875
3400,-974.8529663085938,-97485.296875
3500,-927.701904296875,-92770.1875
3600,-1035.2279052734375,-103522.7890625
3700,-1027.4842529296875,-102748.421875
3800,-595.0687255859375,-59506.875
3900,-981.3865356445312,-98138.65625
4000,-977.8180541992188,-97781.8046875
4100,-754.1607055664062,-75416.0703125
4200,-153.37713623046875,-15337.7138671875
4300,-202.3720245361328,-20237.203125
4400,-35.584110260009766,-3558.410888671875
4500,-231.85902404785156,-23185.90234375
4600,-252.44007873535156,-25244.0078125
4700,-173.35108947753906,-17335.109375
4800,-108.61450958251953,-10861.451171875
4900,-860.3197021484375,-86031.96875
5000,-386.05230712890625,-38605.23046875
5100,-260.5621337890625,-26056.21484375
5200,-113.99134826660156,-11399.134765625
5300,-22.394672393798828,-2239.46728515625
