timestep,average_reward,episode_return
50,-153.89675903320312,-7694.837890625
100,-152.80223083496094,-7640.111328125
150,-885.450439453125,-44272.5234375
200,-58.74006652832031,-2937.00341796875
250,-190.62388610839844,-9531.1943359375
300,-203.83551025390625,-10191.775390625
350,-221.79403686523438,-11089.7021484375
400,-200.78897094726562,-10039.4482421875
450,-233.87525939941406,-11693.7626953125
500,-192.50103759765625,-9625.0517578125
550,-202.42955017089844,-10121.4775390625
600,-821.0348510742188,-41051.7421875
650,-1344.5316162109375,-67226.578125
700,-1373.81787109375,-68690.890625
750,-1416.919677734375,-70845.984375
800,-1390.119873046875,-69505.9921875
850,-1370.71826171875,-68535.9140625
900,-1370.5823974609375,-68529.1171875
950,-1401.073486328125,-70053.671875
1000,-1436.551513671875,-71827.578125
1050,-1392.8929443359375,-69644.6484375
1100,-1420.49462890625,-71024.734375
1150,-1418.69140625,-70934.5703125
1200,-1379.7237548828125,-68986.1875
1250,-1430.574951171875,-71528.75
1300,-1390.630615234375,-69531.53125
1350,-1373.257080078125,-68662.8515625
1400,-1456.6558837890625,-72832.796875
1450,-1387.4581298828125,-69372.90625
1500,-1359.69775390625,-67984.890625
1550,-1405.743896484375,-70287.1953125
1600,-1364.8316650390625,-68241.5859375
1650,-1361.1114501953125,-68055.5703125
1700,-1376.8709716796875,-68843.546875
1750,-1379.5118408203125,-68975.59375
1800,-1378.3863525390625,-68919.3203125
1850,-1429.1785888671875,-71458.9296875
1900,-1429.368896484375,-71468.4453125
1950,-1384.5042724609375,-69225.2109375
2000,-1346.66455078125,-67333.2265625
2050,-1393.0780029296875,-69653.8984375
2100,-1366.65283203125,-68332.640625
2150,-1381.9102783203125,-69095.515625
2200,-1379.213623046875,-68960.6796875
2250,-1405.9134521484375,-70295.671875
2300,-1376.0511474609375,-68802.5546875
2350,-1378.044677734375,-68902.234375
2400,-1363.83154296875,-68191.578125
2450,-1401.459716796875,-70072.984375
2500,-1338.65185546875,-66932.59375
2550,-1335.0394287109375,-66751.96875
2600,-1405.85986328125,-70292.9921875
2650,-1420.63134765625,-71031.5703125
2700,-1383.0821533203125,-69154.109375
2750,-1414.7503662109375,-70737.515625
2800,-1404.223876953125,-70211.1953125
2850,-1392.99267578125,-69649.6328125
2900,-1394.5826416015625,-69729.1328125
2950,-1412.2691650390625,-70613.4609375
3000,-1401.0072021484375,-70050.359375
3050,-1407.5693359375,-70378.46875
3100,-1382.6956787109375,-69134.78125
3150,-1432.72900390625,-71636.453125
3200,-1435.396240234375,-71769.8125
3250,-1403.5426025390625,-70177.1328125
3300,-1399.2373046875,-69961.8671875
3350,-1335.4815673828125,-66774.078125
3400,-1406.9300537109375,-70346.5
3450,-1408.251220703125,-70412.5625
3500,-1391.0101318359375,-69550.5078125
3550,-1324.4189453125,-66220.9453125
3600,-1396.6951904296875,-69834.7578125
3650,-1369.522705078125,-68476.1328125
3700,-1371.836669921875,-68591.8359375
3750,-1363.666259765625,-68183.3125
3800,-1346.19287109375,-67309.640625
