timestep,average_reward,episode_return
100,-655.7570190429688,-65575.703125
200,-1023.1001586914062,-102310.015625
300,-1010.7509155273438,-101075.09375
400,-1095.36767578125,-109536.7734375
500,-1052.364501953125,-105236.453125
600,-1042.4493408203125,-104244.9375
700,-1052.92822265625,-105292.8203125
800,-1095.2069091796875,-109520.6953125
900,-1026.3223876953125,-102632.2421875
1000,-1069.77978515625,-106977.9765625
1100,-1039.5919189453125,-103959.1875
1200,-1050.2840576171875,-105028.40625
1300,-1111.3167724609375,-111131.671875
1400,-1145.541259765625,-114554.125
1500,-1124.492919921875,-112449.2890625
1600,-978.0530395507812,-97805.3046875
1700,-1004.7588500976562,-100475.8828125
1800,-1074.3577880859375,-107435.7734375
1900,-1028.072509765625,-102807.25
2000,-1046.1767578125,-104617.671875
2100,-998.3153686523438,-99831.5390625
2200,-1105.1131591796875,-110511.3203125
2300,-1096.43017578125,-109643.0234375
2400,-1066.4755859375,-106647.5546875
2500,-1043.38818359375,-104338.8203125
2600,-1028.1427001953125,-102814.265625
2700,-1089.8271484375,-108982.71875
2800,-1150.7724609375,-115077.25
2900,-1019.7471313476562,-101974.7109375
3000,-1040.98095703125,-104098.09375
3100,-1044.752197265625,-104475.21875
3200,-1088.9339599609375,-108893.3984375
3300,-1065.50146484375,-106550.1484375
3400,-1068.9202880859375,-106892.0234375
3500,-1091.578125,-109157.8125
3600,-1051.2628173828125,-105126.28125
3700,-1077.772705078125,-107777.265625
3800,-1041.6324462890625,-104163.25
3900,-1046.37451171875,-104637.4453125
4000,-1023.9512329101562,-102395.125
4100,-1051.9698486328125,-105196.984375
4200,-1104.5010986328125,-110450.109375
4300,-1029.895263671875,-102989.53125
4400,-1002.26513671875,-100226.515625
4500,-1065.82763671875,-106582.7578125
4600,-1032.68310546875,-103268.3046875
4700,-1038.917236328125,-103891.71875
4800,-1102.9910888671875,-110299.109375
4900,-1025.062255859375,-102506.2265625
5000,-1025.68408203125,-102568.4140625
5100,-1134.3648681640625,-113436.484375
5200,-1093.3399658203125,-109334.0
5300,-1093.7344970703125,-109373.453125
5400,-1082.13037109375,-108213.03125
5500,-1089.7540283203125,-108975.40625
5600,-1036.3621826171875,-103636.21875
5700,-1108.696044921875,-110869.6015625
5800,-1044.4080810546875,-104440.8046875
5900,-1073.625732421875,-107362.5703125
6000,-1046.1505126953125,-104615.046875
6100,-1050.9461669921875,-105094.6171875
6200,-1028.999755859375,-102899.9765625
6300,-970.5255737304688,-97052.5546875
6400,-1053.33056640625,-105333.0625
6500,-1009.184326171875,-100918.4296875
6600,-1017.8492431640625,-101784.921875
6700,-1027.51708984375,-102751.703125
6800,-1042.748291015625,-104274.828125
6900,-28872.044921875,-2887204.5
7000,-29046.6953125,-2904669.5
7100,-28909.35546875,-2890935.5
7200,-29003.740234375,-2900374.0
7300,-28979.83203125,-2897983.25
7400,-29171.55078125,-2917155.0
7500,-29101.310546875,-2910131.0
7600,-29104.734375,-2910473.5
7700,-28956.865234375,-2895686.5
7800,-29387.625,-2938762.5
7900,-29109.2890625,-2910929.0
8000,-28778.115234375,-2877811.5
8100,-29507.904296875,-2950790.5
8200,-29236.42578125,-2923642.5
8300,-29335.98828125,-2933598.75
8400,-29167.056640625,-2916705.75
8500,-29150.849609375,-2915085.0
8600,-29399.697265625,-2939969.75
8700,-29374.0234375,-2937402.25
8800,-29386.849609375,-2938685.0
8900,-29202.892578125,-2920289.25
9000,-29265.884765625,-2926588.5
9100,-28832.3046875,-2883230.5
9200,-28960.642578125,-2896064.25
9300,-29042.505859375,-2904250.5
9400,-28966.330078125,-2896633.0
9500,-29044.248046875,-2904424.75
9600,-29207.89453125,-2920789.5
9700,-28936.232421875,-2893623.25
9800,-29237.3515625,-2923735.25
9900,-29088.533203125,-2908853.25
10000,-29156.931640625,-2915693.25
10100,-29531.265625,-2953126.5
10200,-29222.375,-2922237.5
10300,-28914.14453125,-2891414.5
10400,-29323.7265625,-2932372.75
10500,-29151.2734375,-2915127.25
10600,-29069.591796875,-2906959.25
10700,-29372.98828125,-2937298.75
10800,-29172.830078125,-2917283.0
10900,-29228.681640625,-2922868.25
11000,-29430.203125,-2943020.25
11100,-29078.9453125,-2907894.5
11200,-28991.8203125,-2899182.0
11300,-29203.634765625,-2920363.5
11400,-28975.59765625,-2897559.75
11500,-29375.306640625,-2937530.75
11600,-29036.802734375,-2903680.25
11700,-28929.140625,-2892914.0
11800,-29083.22265625,-2908322.25
11900,-29649.849609375,-2964985.0
12000,-29143.39453125,-2914339.5
12100,-29263.130859375,-2926313.0
12200,-29352.38671875,-2935238.75
12300,-28780.619140625,-2878062.0
12400,-29151.171875,-2915117.25
12500,-29319.294921875,-2931929.5
12600,-29018.27734375,-2901827.75
12700,-29340.22265625,-2934022.25
12800,-28971.59765625,-2897159.75
12900,-29036.07421875,-2903607.5
13000,-28863.587890625,-2886358.75
13100,-28877.251953125,-2887725.25
13200,-29268.375,-2926837.5
13300,-29083.134765625,-2908313.5
13400,-29113.72265625,-2911372.25
13500,-29146.07421875,-2914607.5
13600,-29062.1796875,-2906218.0
13700,-29372.265625,-2937226.5
13800,-28816.52734375,-2881652.75
13900,-29044.22265625,-2904422.25
14000,-29192.38671875,-2919238.75
14100,-29085.525390625,-2908552.5
14200,-29337.375,-2933737.5
14300,-29143.0625,-2914306.25
14400,-29172.8359375,-2917283.5
14500,-29226.806640625,-2922680.75
14600,-29178.671875,-2917867.25
14700,-29018.78515625,-2901878.5
14800,-29104.16796875,-2910416.75
14900,-29161.595703125,-2916159.5
15000,-28858.181640625,-2885818.25
15100,-28914.810546875,-2891481.0
15200,-28994.318359375,-2899431.75
15300,-29119.34765625,-2911934.75
15400,-29329.84765625,-2932984.75
15500,-29094.435546875,-2909443.5
15600,-28899.203125,-2889920.25
15700,-29233.455078125,-2923345.5
15800,-29290.46484375,-2929046.5
15900,-29226.533203125,-2922653.25
16000,-29102.13671875,-2910213.75
16100,-28769.845703125,-2876984.5
16200,-29306.3515625,-2930635.25
16300,-29407.0625,-2940706.25
16400,-29311.109375,-2931111.0
16500,-29191.943359375,-2919194.25
16600,-28972.546875,-2897254.75
16700,-29251.537109375,-2925153.75
16800,-29058.69921875,-2905870.0
16900,-28849.0390625,-2884904.0
17000,-29261.330078125,-2926133.0
17100,-28801.7734375,-2880177.25
17200,-29086.3359375,-2908633.5
17300,-29333.078125,-2933307.75
17400,-28957.568359375,-2895756.75
17500,-29359.9453125,-2935994.5
17600,-28857.498046875,-2885749.75
17700,-29168.07421875,-2916807.5
17800,-29262.005859375,-2926200.5
17900,-29138.447265625,-2913844.75
18000,-28823.857421875,-2882385.75
18100,-29268.421875,-2926842.25
18200,-28993.82421875,-2899382.5
18300,-28800.341796875,-2880034.25
18400,-29040.015625,-2904001.5
18500,-29261.5078125,-2926150.75
18600,-29202.08203125,-2920208.25
18700,-29308.046875,-2930804.75
18800,-29055.212890625,-2905521.25
18900,-29309.927734375,-2930992.75
19000,-29006.099609375,-2900610.0
19100,-29107.884765625,-2910788.5
19200,-28830.90234375,-2883090.25
19300,-29064.27734375,-2906427.75
19400,-29040.357421875,-2904035.75
19500,-29045.443359375,-2904544.25
19600,-28887.48828125,-2888748.75
19700,-29143.806640625,-2914380.75
19800,-29012.72265625,-2901272.25
19900,-29308.822265625,-2930882.25
20000,-29015.005859375,-2901500.5
20100,-29312.5703125,-2931257.0
20200,-29187.443359375,-2918744.25
20300,-28852.064453125,-2885206.5
20400,-29096.232421875,-2909623.25
20500,-28669.595703125,-2866959.5
20600,-29012.07421875,-2901207.5
20700,-28688.642578125,-2868864.25
20800,-29335.349609375,-2933535.0
20900,-29200.654296875,-2920065.5
21000,-29204.857421875,-2920485.75
21100,-29098.75,-2909875.0
21200,-29320.759765625,-2932076.0
21300,-28965.244140625,-2896524.5
21400,-28995.9921875,-2899599.25
21500,-29247.859375,-2924786.0
21600,-29481.73046875,-2948173.0
21700,-29271.7265625,-2927172.75
21800,-29082.9765625,-2908297.75
21900,-29279.033203125,-2927903.25
22000,-29102.01171875,-2910201.25
22100,-29057.16796875,-2905716.75
22200,-29009.4609375,-2900946.0
22300,-29168.921875,-2916892.25
22400,-29169.447265625,-2916944.75
22500,-29454.345703125,-2945434.5
22600,-29112.46484375,-2911246.5
22700,-29088.966796875,-2908896.75
22800,-28924.4296875,-2892443.0
22900,-29298.83984375,-2929884.0
23000,-29302.3828125,-2930238.25
23100,-28784.29296875,-2878429.25
23200,-29124.2109375,-2912421.0
23300,-29113.005859375,-2911300.5
23400,-28852.4296875,-2885243.0
23500,-29378.23046875,-2937823.0
23600,-29003.66796875,-2900366.75
23700,-29248.0,-2924800.0
23800,-29125.794921875,-2912579.5
23900,-29001.501953125,-2900150.25
24000,-28725.169921875,-2872517.0
24100,-29235.150390625,-2923515.0
24200,-29315.20703125,-2931520.75
24300,-29176.982421875,-2917698.25
24400,-28998.8671875,-2899886.75
24500,-29154.55078125,-2915455.0
24600,-29043.265625,-2904326.5
24700,-28943.966796875,-2894396.75
24800,-29267.3828125,-2926738.25
24900,-29257.560546875,-2925756.0
25000,-29135.61328125,-2913561.25
25100,-29034.19921875,-2903420.0
25200,-29076.615234375,-2907661.5
25300,-29129.05078125,-2912905.0
25400,-29002.107421875,-2900210.75
25500,-29173.658203125,-2917365.75
25600,-28875.70703125,-2887570.75
25700,-28959.099609375,-2895910.0
25800,-28955.44921875,-2895545.0
25900,-29394.919921875,-2939492.0
26000,-28882.02734375,-2888202.75
26100,-29222.375,-2922237.5
26200,-29415.6875,-2941568.75
26300,-28904.71484375,-2890471.5
26400,-29145.849609375,-2914585.0
26500,-29371.310546875,-2937131.0
26600,-29131.462890625,-2913146.25
26700,-29016.984375,-2901698.5
26800,-29141.484375,-2914148.5
