lead_speed,ego_speed,lead_pos,ego_pos,rel_distance,jerk,ego_accel,lead_accel,acc_diff,reward
12.248357076505616,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.1887744630794259
12.010862516187741,3.0,12.248357076505616,4.0,8.248357076505616,1.0,2.0,-0.23749456031787552,2.2374945603178755,0.7474105631466754
12.483801605796883,5.0,24.259219592693356,9.0,15.259219592693356,0.0,2.0,0.47293908960914166,1.5270609103908583,0.9339425198575333
13.001370954121791,7.0,36.74302119849024,16.0,20.74302119849024,0.0,2.0,0.5175693483249084,1.4824306516750916,0.9429411736833091
12.202582088515022,9.0,49.74439215261203,25.0,24.74439215261203,0.0,2.0,-0.7987888656067685,2.7987888656067685,0.8847730326446692
12.282265188112722,11.0,61.94697424112705,36.0,25.94697424112705,0.0,2.0,0.07968309959770004,1.9203169004023,0.8556450483268264
13.268455236909372,13.0,74.22923942923977,49.0,25.22923942923977,0.0,2.0,0.9861900487966491,1.013809951203351,0.9804376474767466
12.941889823153401,15.0,87.49769466614914,64.0,23.497694666149144,0.0,2.0,-0.32656541375597037,2.3265654137559704,0.9238114998832527
12.402535633489508,16.0,100.43958448930255,80.0,20.439584489302547,-1.0,1.0,-0.5393541896638929,1.539354189663893,0.9695759361921911
12.987398315496279,16.0,112.84212012279205,96.0,16.842120122792053,-1.0,0.0,0.5848626820067704,-0.5848626820067704,0.9898586192248551
12.562968476774014,15.0,125.82951843828833,111.0,14.829518438288332,-1.0,-1.0,-0.4244298387222649,-0.5755701612777351,0.9795979338119188
12.640053615538347,13.0,138.39248691506234,124.0,14.392486915062335,-1.0,-2.0,0.07708513876433365,-2.0770851387643336,1.0803491634541955
13.071791641491556,11.0,151.03254053060067,135.0,16.03254053060067,0.0,-2.0,0.43173802595320865,-2.4317380259532086,0.9913928048055862
12.071682085239722,10.0,164.10433217209223,145.0,19.104332172092228,1.0,-1.0,-1.000109556251834,0.00010955625183406426,0.9903603699008765
12.242963677999938,10.0,176.17601425733196,155.0,21.176014257331957,1.0,0.0,0.17128159276021648,-0.17128159276021648,0.9677429522989573
12.900937062024871,11.0,188.4189779353319,166.0,22.418977935331895,1.0,1.0,0.6579733840249329,0.3420266159750671,0.9477937504296562
12.751850682297258,13.0,201.31991499735676,179.0,22.31991499735676,1.0,2.0,-0.1490863797276134,2.1490863797276134,1.0532672607526343
13.491072034860894,15.0,214.07176567965402,194.0,20.07176567965402,0.0,2.0,0.7392213525636357,1.2607786474363643,0.9844871789739286
12.955084895339754,16.0,227.56283771451493,210.0,17.562837714514927,-1.0,1.0,-0.53598713952114,1.53598713952114,0.9905205948486809
12.777530026984286,16.0,240.51792260985468,226.0,14.51792260985468,-1.0,0.0,-0.1775548683554682,0.1775548683554682,0.9716301161513803
14.290497753695378,15.0,253.29545263683897,241.0,12.295452636838974,-1.0,-1.0,1.5129677267110928,-2.512967726711093,1.045121980051716
13.518153661995012,13.0,267.5859503905344,254.0,13.585950390534379,-1.0,-2.0,-0.7723440917003668,-1.2276559082996332,1.0688839480918453
13.73752196260796,11.0,281.1041040525294,265.0,16.104104052529408,0.0,-2.0,0.21936830061294899,-2.219368300612949,0.9886009225119095
13.063418334755351,10.0,294.84162601513736,275.0,19.841626015137365,1.0,-1.0,-0.6741036278526096,-0.3258963721473904,0.9794490433167485
13.574925339903341,10.0,307.9050443498927,285.0,22.905044349892705,1.0,0.0,0.5115070051479904,-0.5115070051479904,0.9285908999655028
13.973163449271745,11.0,321.47996968979606,296.0,25.479969689796064,1.0,1.0,0.3982381093684033,0.6017618906315967,0.8636004666037868
13.412023762663797,13.0,335.4531331390678,309.0,26.453133139067802,1.0,2.0,-0.5611396866079481,2.561139686607948,0.9393050504072522
14.244392975785289,15.0,348.8651569017316,324.0,24.86515690173161,0.0,2.0,0.8323692131214919,1.167630786878508,0.9909299856507079
13.82442544672413,16.0,363.1095498775169,340.0,23.109549877516883,-1.0,1.0,-0.4199675290611591,1.419967529061159,0.9321327757064392
14.046248872270855,16.0,376.93397532424103,356.0,20.933975324241032,-1.0,0.0,0.22182342554672552,-0.22182342554672552,0.9723984834759045
13.957716587465443,15.0,390.98022419651187,371.0,19.98022419651187,-1.0,-1.0,-0.08853228480541198,-0.911467715194588,0.9864106211580295
15.250279734403689,13.0,404.9379407839773,384.0,20.937940783977297,-1.0,-2.0,1.292563146938246,-3.292563146938246,0.9710893674486633
14.382033153080602,12.0,420.188220518381,396.0,24.188220518381,1.0,-1.0,-0.8682465813230866,-0.13175341867691337,0.9046613306526397
13.923611943415786,12.0,434.5702536714616,408.0,26.570253671461614,1.0,0.0,-0.4584212096648166,0.4584212096648166,0.8315607137618224
14.926444552125469,13.0,448.4938656148774,421.0,27.493865614877393,1.0,1.0,1.0028326087096833,-0.002832608709683271,0.7963341115311287
13.966448923965253,15.0,463.42031016700287,436.0,27.420310167002867,1.0,2.0,-0.9599956281602164,2.9599956281602164,0.8018986645541465
14.74197048538827,16.979780435562134,477.3867590909681,452.97978043556213,24.406978655405965,-0.02021956443786621,1.9797804355621338,0.7755215614230178,1.204258874139116,0.8995722049093167
13.717316584572693,17.959560871124268,492.12872957635636,470.9393413066864,21.189388269669962,-1.0,0.9797804355621338,-1.0246539008155775,2.0044343363777113,0.9545801918044639
14.09159275599299,17.9393413066864,505.84604616092906,488.8786826133728,16.96736354755626,-1.0,-0.02021956443786621,0.3742761714202967,-0.3944957358581629,0.9844274279096931
